#map	level_1	level_2	level_3
map01100	Metabolism	Global and overview maps	Metabolic pathways
map01110	Metabolism	Global and overview maps	Biosynthesis of secondary metabolites
map01120	Metabolism	Global and overview maps	Microbial metabolism in diverse environments
map01130	Metabolism	Global and overview maps	Biosynthesis of antibiotics
map01200	Metabolism	Global and overview maps	Carbon metabolism
map01210	Metabolism	Global and overview maps	2-Oxocarboxylic acid metabolism
map01212	Metabolism	Global and overview maps	Fatty acid metabolism
map01230	Metabolism	Global and overview maps	Biosynthesis of amino acids
map01220	Metabolism	Global and overview maps	Degradation of aromatic compounds
map00010	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
map00020	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
map00030	Metabolism	Carbohydrate metabolism	Pentose phosphate pathway
map00040	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions
map00051	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism
map00052	Metabolism	Carbohydrate metabolism	Galactose metabolism
map00053	Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism
map00500	Metabolism	Carbohydrate metabolism	Starch and sucrose metabolism
map00520	Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
map00620	Metabolism	Carbohydrate metabolism	Pyruvate metabolism
map00630	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism
map00640	Metabolism	Carbohydrate metabolism	Propanoate metabolism
map00650	Metabolism	Carbohydrate metabolism	Butanoate metabolism
map00660	Metabolism	Carbohydrate metabolism	C5-Branched dibasic acid metabolism
map00562	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism
map00190	Metabolism	Energy metabolism	Oxidative phosphorylation
map00195	Metabolism	Energy metabolism	Photosynthesis
map00196	Metabolism	Energy metabolism	Photosynthesis - antenna proteins
map00710	Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms
map00720	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes
map00680	Metabolism	Energy metabolism	Methane metabolism
map00910	Metabolism	Energy metabolism	Nitrogen metabolism
map00920	Metabolism	Energy metabolism	Sulfur metabolism
map00061	Metabolism	Lipid metabolism	Fatty acid biosynthesis
map00062	Metabolism	Lipid metabolism	Fatty acid elongation
map00071	Metabolism	Lipid metabolism	Fatty acid degradation
map00072	Metabolism	Lipid metabolism	Synthesis and degradation of ketone bodies
map00073	Metabolism	Lipid metabolism	Cutin, suberine and wax biosynthesis
map00100	Metabolism	Lipid metabolism	Steroid biosynthesis
map00120	Metabolism	Lipid metabolism	Primary bile acid biosynthesis
map00121	Metabolism	Lipid metabolism	Secondary bile acid biosynthesis
map00140	Metabolism	Lipid metabolism	Steroid hormone biosynthesis
map00561	Metabolism	Lipid metabolism	Glycerolipid metabolism
